Restaurant Name,Location,Review,Cuisine,Longitude,Latitude
Restoran Orahovica,"Hwy M17, between Sarajevo and Mostar, just 5 km. from Konjic, Konjic 88400 Bosnia and Herzegovina",3.0 ,"Seating, Wheelchair Accessible, Table Service, Reservations",18.3199435,43.8963694
Navalića Kula,"Marshala Tita, Konjic 88400 Bosnia and Herzegovina",NONE,NONE,17.9626347,43.6533062
Fast Food Xxl Konjic,"Maršala Tita, Konjic 88400 Bosnia and Herzegovina",NONE,NONE,17.9626347,43.6533062
Konoba kod Lende,"Borci, Konjic 88400 Bosnia and Herzegovina",NONE,"Breakfast, Lunch, Dinner",18.0099682,43.5823438
Restaurant PapaJoe,"Kralja Petra I Oslobodioca Br. 15, Prijedor 79101 Bosnia and Herzegovina",4.5 ,Vegetarian Friendly,16.7054688,44.9766241
Le Pont Restaurant,"Kralja Petra, Oslobodioca 1, Prijedor 79200 Bosnia and Herzegovina",4.0 ,"Lunch, Dinner, Brunch, Breakfast",16.7060617,44.9778368
Restoran Stara basta,"Mladena Stojanovica b.b., Prijedor 79200 Bosnia and Herzegovina",4.5 ,Reservations,16.7076093,44.975444
SAC-Buregdzinica Prijedor - Raskovac,"Muharema Suljanovica 88, Prijedor 79101 Bosnia and Herzegovina",5.0 ,NONE,16.6938012,44.9836426
Restauraunt TARA-RAFT,"Bastasi Bb, Foca 73300 Bosnia and Herzegovina",4.5 ,Vegetarian Friendly,18.8135603,43.3765746
Restoran Ena,"Ulica Muharema Suljanovica 8, Prijedor Bosnia and Herzegovina",5.0 ,NONE,16.7046361,44.9790022
Voulez Vous,"Nikole Pašića, Prijedor Bosnia and Herzegovina",4.0 ,NONE,16.7088675,44.9773105
Gurman Extra,"Prote Matije Nenadovića 24, Prijedor Bosnia and Herzegovina",5.0 ,NONE,16.7091574,44.9747204
Caffe Bar Mangala,"Miloša Obrenovića 18, Prijedor 79101 Bosnia and Herzegovina",5.0 ,"Breakfast, Lunch, Dinner",16.7110552,44.9785756
Slasticarna Oaza,"Kralja Petra I Oslobodioca 33, Prijedor 79101 Bosnia and Herzegovina",5.0 ,NONE,16.7056084,44.9769963
Neira,"Mladena Stojanovica B.B Kozarac, Prijedor 79200 Bosnia and Herzegovina",4.0 ,NONE,16.8320354,44.9691348
Restoran Babilon,"Brace Krneta, Prijedor 79101 Bosnia and Herzegovina",5.0 ,"Bar, Cafe, International, Mediterranean, Grill, Pub",16.7363199,44.9772389
Restoran Evropa,"Kozarska bb, Prijedor 79203 Bosnia and Herzegovina",4.5 ,"Breakfast, Lunch, Dinner",16.7303641,44.9850807
Pekara Galija,"Kralja Petra I Oslobodioca 20, Prijedor 52000 Bosnia and Herzegovina",5.0 ,"Breakfast, Lunch, Dinner",16.7055679,44.9765627
Intermezzo,"Omladinska Ulica KOZARAC, Prijedor 79200 Bosnia and Herzegovina",4.5 ,NONE,16.8344476,44.9781399
Konoba Jelen,"Prvomajska, Prijedor Bosnia and Herzegovina",3.5 ,NONE,16.7255082,44.9800725
Restoran SOVA,"Srpskih velikana 47, Prijedor Bosnia and Herzegovina",3.0 ,NONE,16.7087933,44.97229249999999
ULICA bar restoran igraonica,"Kozarska bb Tropic Market Urije, Prijedor 79101 Bosnia and Herzegovina",1.0 ,"Italian, Steakhouse, Street Food",16.7190907,44.982374
Konoba Stanisic,"Pavlovica put,bb, Bijeljina Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options",19.3131732,44.7803362
